scaffold,coverage,stdev
1,76.32,19.5719
2,17.8097,8.52215
3,20.2626,7.28522
4,78.3258,20.4302
5,63.4559,30.3535
6,23.8522,9.79271
7,21.7946,8.11321
8,73.949,23.1189
9,60.8913,20.3208
10,42.1117,10.5139
11,54.3638,33.8391
12,24.2005,15.1438
13,59.9194,17.7359
14,73.0298,22.1924
15,59.9664,20.9387
16,69.5803,20.3113
17,23.5459,12.1586
18,24.5953,9.63191
19,70.9259,24.6137
20,54.0152,28.8652
21,65.6323,18.5103
22,52.3455,21.6746
23,19.7743,13.0675
24,23.3878,14.1986
25,56.2916,20.8645
26,57.8934,15.6873
27,67.1333,17.4149
28,51.7192,26.2736
29,19.2007,8.08679
30,20.9713,15.0989
31,58.6892,15.0698
32,15.6215,5.01514
33,25.0094,39.8577
34,76.9537,32.2273
35,62.655,25.2027
36,73.3561,18.1214
37,76.3735,45.7903
38,21.9653,7.05283
39,25.7377,7.62952
40,18.868,12.0336
41,61.1847,16.4901
42,17.9197,23.6754
43,65.3536,22.8911
44,18.3581,7.19117
45,22.7063,10.9769
46,29.0603,20.7387
47,122.864,46.0887
48,27.8458,23.7794
49,30.0999,17.8804
50,27.4967,12.4232
51,29.0364,9.67226
52,26.8554,10.4831
53,25.8219,7.64385
54,22.6584,6.5894
55,21.2979,6.51743
56,16.4842,5.43364
57,26.1767,8.11995
58,18.9668,8.6418
59,9.10717,4.29815
60,29.6063,44.0301
61,25.997,7.41483
62,69.686,20.009
63,19.5611,7.66188
64,54.0512,22.6099
65,18.6911,7.78647
66,9.06614,4.18894
67,30.1364,8.61086
68,22.9523,7.74151
69,21.4217,6.73339
70,53.4636,25.4988
71,43.9882,11.6888
72,21.7875,6.92051
73,19.6011,9.19019
74,19.9673,6.04529
75,19.6006,9.42107
76,23.3291,11.345
77,21.4645,7.14184
78,25.8587,13.1845
79,14.2059,5.86121
80,49.3439,12.4483
81,23.3195,10.911
82,19.729,8.98074
83,18.7203,7.76651
84,15.8476,5.51095
