scaffold1,scaffold2,connections
100,106,1
100,135,12
100,238,15
100,243,3
100,326,4
102,132,1
102,243,1
102,326,1
104,288,4
105,224,1
105,339,1
106,132,1
106,135,2
106,238,3
106,243,1
106,271,1
106,326,1
107,363,3
109,127,1
109,231,10
109,301,5
111,246,2
111,247,3
111,262,1
111,266,1
111,286,1
11,146,1
112,175,1
11,301,5
11,43,48
11,48,21
1,182,1
119,146,1
119,288,1
119,318,1
120,121,1
120,318,3
1,206,1
121,146,3
121,165,3
121,179,1
12,121,1
121,272,3
121,275,3
121,288,4
121,315,1
121,318,9
121,379,3
12,146,1
12,152,6
12,165,1
122,132,22
122,326,3
12,288,1
123,163,1
12,318,2
123,322,1
12,379,3
124,314,1
125,247,2
125,266,1
126,298,12
1,264,1
1,27,6
127,246,8
127,250,3
127,279,2
127,313,8
127,320,15
127,362,9
12,76,1
129,288,7
130,322,3
13,112,15
13,15,7
13,21,1
132,249,5
132,326,7
13,27,1
13,41,54
135,167,15
135,243,4
135,271,1
135,353,1
1,36,14
139,168,6
139,227,2
139,289,1
139,309,3
14,117,22
14,15,9
14,16,2
14,17,4
14,173,1
14,21,3
14,211,1
142,306,2
14,257,9
14,318,1
143,183,2
143,225,6
143,333,3
14,41,29
14,42,52
145,288,2
145,318,1
145,414,4
14,61,5
146,379,2
146,414,8
147,235,1
148,179,5
14,97,9
150,398,2
15,112,2
15,16,1
15,175,72
15,21,81
152,192,4
153,280,1
15,332,17
15,41,71
15,53,6
15,59,19
159,160,3
159,342,7
16,109,2
161,304,3
16,131,1
16,135,25
16,139,5
16,167,267
16,168,1
16,19,15
16,20,49
16,207,7
16,21,22
162,237,1
162,347,5
16,27,6
16,28,14
16,291,4
16,301,2
163,164,1
163,322,4
16,350,1
16,353,27
16,374,21
16,41,2
16,43,4
164,322,1
16,46,1
16,48,12
16,49,43
165,185,1
165,288,1
165,379,2
16,57,2
16,62,19
16,69,1
167,353,28
168,227,1
168,228,2
168,309,6
168,380,16
170,186,14
17,165,3
17,185,6
172,173,1
172,219,1
17,223,3
17,315,1
17,318,5
1,74,1
174,286,1
176,354,1
17,76,3
180,196,1
180,213,2
180,217,5
180,348,1
18,142,1
18,148,4
18,161,1
18,175,1
18,179,8
18,21,3
18,242,1
183,196,2
183,212,2
183,219,2
183,289,1
183,294,47
183,333,2
183,373,3
183,401,2
18,342,1
18,41,1
184,262,1
184,322,1
185,200,1
185,272,2
185,275,2
185,288,1
18,53,2
185,315,2
185,379,1
1,88,1
189,250,2
18,97,1
19,109,1
192,280,5
192,316,1
192,376,9
19,290,2
19,301,1
19,35,3
19,40,1
19,41,1
19,48,5
195,358,2
195,360,32
195,361,2
195,403,24
19,55,1
196,212,1
196,221,3
196,263,1
196,278,3
196,294,29
19,68,1
200,212,1
200,230,1
201,266,37
20,135,11
20,167,52
20,181,7
20,21,7
20,28,7
20,353,16
20,36,2
204,207,1
20,49,4
207,374,6
210,211,6
21,112,53
211,247,1
21,135,1
21,164,1
21,167,8
21,175,32
21,208,1
212,219,4
212,294,2
21,237,1
21,27,2
21,295,1
213,217,3
213,219,5
21,332,2
21,36,2
21,41,49
214,215,5
214,216,2
214,390,1
21,49,31
21,50,1
21,53,8
