"scaffold1","scaffold2","connections"
6517,6646,8
12119,56903,10
26621,69412,9
1962,2104,2
24017,8929,40
5236,53249,2
12427,65058,2
82757,9767,3
30045,8320,1
20216,38735,26
36121,41515,26
1058,17163,22
16380,61622,1
10949,31787,1
14034,6757,20
21104,4916,4
20793,31151,16
31833,48504,13
42619,65144,1
24135,423,8
17388,35965,7
13964,6757,3
16162,86339,7
75588,9815,22
24017,6044,7
21333,7258,2
20216,48504,9
7531,8257,20
14216,28822,4
34032,48504,38
51135,51136,2
2509,45739,1
1192,2127,32
17238,5382,4
20267,3951,5
35990,6757,1
29234,573,11
1058,10820,26
22199,48504,3
26452,6922,10
18850,3337,28
28601,5839,15
19351,4905,2
12819,70106,13
10949,24017,34
51374,6757,1
41376,4905,1
15114,4784,12
423,460,28
6757,8667,1
2509,29612,3
39232,6757,1
42619,62906,10
18770,49226,12
35832,3951,1
612,7007,2
12567,6757,1
5447,6757,1
11985,24017,22
10309,47380,10
36934,9833,1
61882,6573,3
5687,61622,15
19572,61622,1
2042,2509,13
16162,44328,9
16548,612,1
6757,7716,7
13731,55954,2
1962,36425,5
41515,8546,27
2042,45739,3
23245,48504,7
11854,16548,11
20574,9767,2
1117,6525,40
14880,17388,10
17282,28822,7
26621,48504,7
53581,6944,4
15815,3177,4
30618,69412,11
16548,17117,11
6757,6922,95
10849,67963,6
2521,57188,5
31787,612,2
53582,6944,2
28601,6622,1
21584,26621,2
1877,484,19
18815,49386,9
17282,69412,1
24017,8546,23
37454,51135,5
16548,31787,1
1382,18189,4
27602,6757,1
29668,6155,20
2042,23045,2
17117,35208,16
1957,227,14
24017,9368,31
14216,48504,17
12537,2629,1
34443,35208,16
18850,1962,104
29668,4078,18
18472,41999,24
10968,38735,25
3177,6603,11
17117,31787,21
15083,6757,1
65,6757,2
253,25578,36
15191,64647,21
17117,6044,15
15945,573,1
11092,3177,1
37990,37990,6
10820,88232,1
25706,4666,3
22199,28822,1
28820,53446,19
21584,69412,9
10309,66061,3
16548,24017,20
34032,37454,7
14571,48504,24
10308,4666,1
22965,28822,2
25673,6757,2
32703,43410,2
15114,31371,4
32072,8351,12
4562,4905,8
17117,20273,9
22767,36121,13
10364,5382,1
5236,60302,3
22767,41999,21
10401,15114,1
22519,29668,14
31754,7409,24
22083,9767,5
3505,5013,25
1962,2127,1
19997,48504,9
4119,42684,3
180,181,29
1383,18189,25
3951,6944,20
1962,3177,2
16380,8490,17
37254,6573,12
45704,51135,20
12648,16162,3
20356,484,1
4119,61636,2
1962,2404,5
28569,423,1
33214,5839,1
484,620,52
16668,35208,14
59855,7521,11
4905,6922,1
13731,28205,2
10612,27668,3
484,9934,1
24017,34743,21
12819,17238,8
25712,51135,13
5382,5653,1
2404,564,17
22199,51135,10
56900,56900,21
24017,31787,16
2407,5382,9
31165,6757,3
24135,460,2
28822,37454,7
21161,35208,12
20273,612,6
12385,53581,1
43410,48504,7
29668,7521,8
1192,4615,31
6757,9445,1
1382,1383,9
11002,36121,10
34478,7258,9
6646,7531,12
15949,6757,8
17117,612,11
12427,14585,10
1877,620,1
16380,9851,25
18770,84064,4
12537,2672,13
24474,58179,18
12725,285,12
37454,48504,8
2521,60740,1
51136,9815,1
10308,12819,5
23245,75588,8
21251,285,6
34743,611,23
181,484,2
2042,74341,4
20273,24017,17
41999,5687,24
24017,4889,29
484,54115,1
31151,8320,9
16668,24793,3
36121,5503,32
16548,36121,1
14216,42619,6
30996,460,5
24017,2521,9
6757,7148,1
11482,15325,9
8351,92238,2
484,53959,1
88688,9767,4
30996,6525,6
22965,69412,7
11985,24474,1
48504,6267,18
35327,70106,3
66665,6757,1
28814,41407,13
34384,6757,3
19563,9767,6
28710,6750,7
28814,67812,1
1962,9018,11
7531,8490,4
59855,6155,14
27566,3951,10
15191,48504,12
18251,70106,20
18770,37983,2
18030,24017,24
36710,9815,20
15114,96179,3
35327,73764,16
6646,8490,17
22965,48504,24
16668,24017,24
2125,4666,14
25712,48504,4
3177,431,38
12119,20031,2
12427,20904,4
3951,47933,1
44902,60384,30
37454,64647,10
10727,12157,11
19380,6757,2
20212,9904,2
11985,34443,4
26452,6757,1
12819,15125,1
40065,6757,1
18850,2127,1
16548,20273,3
1877,431,24
12157,35060,3
12439,1962,25
180,1930,38
58179,6752,33
31944,4119,1
32703,7749,19
1383,343,12
15365,51451,4
17163,1779,40
12663,24017,38
35462,9815,1
19572,8490,10
61957,9815,5
15365,79460,8
23245,51135,4
20267,4732,17
25870,6721,13
15325,27797,6
18251,73764,12
50100,59665,9
17380,6721,1
13562,73764,11
65881,6944,1
10309,36028,1
45704,69412,6
42619,67963,40
18472,6646,17
30996,343,7
12819,34707,1
4344,573,103
27391,484,16
13588,24017,18
17539,1962,11
17282,45586,1
21584,38735,10
36121,8929,11
13731,56874,4
16548,6044,3
42619,75293,36
12819,27378,2
1930,3337,45
15193,6757,1
285,54475,5
19572,34743,17
21141,26452,4
17539,227,1
15191,22199,3
14571,20216,2
35832,6944,5
24017,3345,23
10849,65144,1
10849,42619,10
285,85696,1
42619,51136,10
18815,18815,5
13588,35208,15
10309,13260,1
2521,36121,10
4889,61622,23
10288,6757,1
18850,227,19
11203,1129,5
315,396,24
253,30996,3
17117,7007,18
11854,17117,3
423,9018,45
19997,28822,5
10849,69412,5
12819,50509,1
26897,38735,20
10142,58179,27
58796,6757,2
53815,6757,1
1667,3177,1
1097,6044,17
42619,48504,17
13731,36070,1
21161,4013,2
40495,6757,1
315,5013,40
15365,39019,7
19094,21104,1
11854,36121,15
36121,4968,16
1196,31426,1
12513,6757,1
14800,6757,3
26621,28822,5
45736,8351,2
12819,15126,1
21251,31944,12
6044,612,5
42619,61957,9
12819,44595,1
1962,227,29
61622,7531,11
28814,49116,5
16548,7007,16
43398,70106,14
15191,26897,22
24474,45191,1
18167,3177,13
15125,5382,3
25712,28822,6
23245,64675,8
1097,24017,11
57188,6646,13
37340,5013,1
17282,48504,6
28820,37584,47
31833,43410,4
12119,18417,4
42619,68742,2
30045,73764,13
20216,28822,8
10820,1382,17
75293,9815,1
1117,1779,32
12819,13963,3
10612,31754,35
12819,7011,1
12439,2404,20
31151,5382,10
13859,16517,3
17539,6525,29
57449,6573,8
1957,386,36
17539,343,23
26452,33087,12
5839,7484,20
22314,4666,3
13731,56873,7
28822,31833,17
