"scaffold","coverage"
"180",11.987
"227",13.043
"253",15.171
"285",2.328
"315",12.603
"343",10.745
"386",12.316
"423",15.332
"431",12.571
"460",13.369
"484",12.608
"564",12.486
"573",35.74
"1058",13.958
"1097",1.433
"1117",14.032
"1192",13.418
"1196",2.38
"1382",13.527
"1383",12.917
"1779",13.15
"1877",12.224
"1930",12.467
"1957",13.591
"1962",14.577
"2042",2.324
"2104",13.155
"2125",2.533
"2127",13.008
"2404",12.77
"2509",2.518
"2521",1.478
"3177",15.17
"3337",12.662
"3345",1.567
"3505",12.985
"3951",2.565
"4013",1.405
"4078",0.803
"4119",2.255
"4666",2.676
"4889",1.738
"4905",2.563
"4968",1.314
"5013",13.395
"5236",4.44
"5382",0.318
"5503",1.518
"5687",1.435
"5839",6.66
"6044",1.482
"6155",0.751
"6267",0.213
"6517",1.344
"6525",13.839
"6573",4.246
"6646",1.451
"6721",4.631
"6750",2.431
"6752",2.1
"6757",3.076
"6944",2.384
"7007",1.365
"7258",4.739
"7409",1.797
"7521",0.702
"7531",1.475
"8257",1.249
"8320",0.235
"8351",5.215
"8546",1.663
"8929",1.53
"9368",1.566
"9767",4.662
"9815",0.241
"9833",5.019
"9904",5.26
"10142",1.935
"10309",2.029
"10612",1.969
"10820",13.61
"10849",0.177
"10949",1.383
"10968",0.184
"11002",1.387
"11203",5.048
"11854",1.648
"11985",1.722
"12119",4.205
"12157",4.457
"12385",2.492
"12427",4.93
"12537",2.854
"12663",1.392
"12819",0.28
"13562",0.186
"13588",1.348
"13731",4.755
"14216",0.269
"14571",0.366
"15114",4.613
"15191",0.257
"15325",4.656
"15365",5.08
"16162",5.048
"16380",1.394
"16517",11.425
"16548",1.386
"16668",1.417
"17117",1.566
"17282",0.227
"17388",4.984
"18030",1.403
"18251",0.233
"18472",1.388
"18770",4.931
"18815",1.378
"19572",1.389
"19997",0.281
"20216",0.247
"20267",2.605
"20273",1.451
"20793",1.771
"21104",5.078
"21161",1.339
"21251",2.413
"21584",0.262
"22199",0.183
"22519",0.7
"22767",1.413
"22965",0.206
"23245",0.238
"24474",0.926
"25712",0.26
"26452",2.642
"26621",0.233
"26897",0.231
"28601",5.945
"28814",4.527
"28820",1.178
"30045",0.153
"30618",0.192
"31787",1.835
"31833",0.21
"32703",0.317
"34032",0.179
"34443",1.942
"34743",1.371
"35327",0.161
"36121",1.333
"37454",0.246
"37990",0.164
"42619",0.199
"43398",0.067
"43410",0.307
"44902",0.317
"45704",0.207
"47829",0.166
"51136",0.151
"56900",1.947
"59665",0.502
