scaffold,coverage,stdev
1,15.3806,4.61797
2,11.7849,4.325
3,7.60288,2.24875
4,28.894,7.38433
5,22.3555,8.72995
6,9.2124,2.67503
7,10.9444,2.99464
8,26.5438,7.09117
9,20.9206,5.90844
10,12.2604,2.99433
11,18.3077,10.4188
12,9.6442,3.88229
13,19.662,6.09756
14,26.6615,6.62481
15,19.6868,5.59767
16,23.1016,7.7239
17,10.3407,3.34226
18,10.1036,3.34677
19,24.3252,8.47175
20,14.2861,4.68667
21,21.4727,5.98354
22,21.8255,7.63293
23,8.67046,2.37836
24,8.54591,3.11121
25,23.9147,7.11104
26,14.014,4.38399
27,15.2039,4.15416
28,20.2613,7.21692
29,9.43758,2.8826
30,9.16236,3.74641
31,28.1638,8.89607
32,5.20045,1.42445
33,9.75432,8.95797
34,15.8048,6.82084
35,22.4586,9.92432
36,15.676,4.78639
37,9.81624,2.93377
38,11.9871,2.63568
39,9.53316,2.0716
40,7.76195,1.82656
41,20.057,5.33677
42,8.46192,6.05209
43,21.4378,6.01275
44,11.1909,2.8812
45,10.5163,3.00247
46,10.0293,4.86715
47,33.0317,12.555
48,10.6346,6.50859
49,8.59143,5.63856
50,8.94712,2.43521
51,12.2452,2.55879
52,11.9118,2.59739
53,11.8485,3.75933
54,6.61446,1.47786
55,5.96778,1.40798
56,7.08058,1.61946
57,9.40491,2.28735
58,9.57554,2.527
59,5.76992,2.00972
60,11.5025,12.1025
61,11.5348,2.88502
62,22.3951,6.0739
63,10.3418,2.75945
64,20.0192,6.95236
65,6.48676,1.8667
66,6.82948,1.63604
67,10.8297,3.23394
68,7.60715,2.05498
69,9.38898,2.6312
70,18.9834,7.0572
71,11.9466,3.63156
72,7.11173,1.82447
73,9.22316,3.58247
74,8.46427,2.41197
75,9.81394,3.14169
76,10.5951,3.42274
77,9.52535,3.29679
78,8.22319,3.33877
79,7.14071,1.84805
80,14.1009,3.79147
81,7.60358,2.04718
82,9.85844,2.75333
83,8.58777,2.29106
84,7.9086,1.60108
85,9.90247,2.99124
86,20.334,7.53761
87,9.21917,2.22624
88,9.73774,2.58424
89,10.9046,5.06613
90,8.15131,1.74072
91,12.1971,4.47743
92,8.95076,2.22957
93,10.2715,2.65416
94,19.7121,6.65466
95,6.61193,1.93
96,10.55,2.9264
97,23.5421,9.8702
98,8.31458,2.01153
99,6.6076,1.86494
100,11.6915,2.6686
101,12.3968,3.22167
102,22.5308,13.3641
103,11.8123,3.13364
104,12.1581,3.8853
105,8.21849,2.92424
106,22.4972,9.80457
107,8.27197,2.02969
108,10.8931,3.70449
109,29.4347,10.6317
110,11.2188,3.6932
111,8.20139,2.22796
112,17.7511,9.12903
113,7.88975,2.87528
114,6.30517,1.65494
115,8.33259,2.3527
116,8.16907,2.56717
117,7.58497,2.76814
118,8.13241,2.70297
119,9.09084,3.9913
120,8.23283,1.71956
121,9.63041,2.86507
122,19.4302,6.52133
123,10.1272,3.33768
124,10.7258,3.01114
125,9.49118,2.70236
126,9.61362,3.35043
127,9.45997,2.84196
128,9.60355,3.08572
129,8.00341,1.88827
130,9.76958,2.15319
131,8.10374,1.98502
132,20.62,6.43259
133,11.4846,2.7369
134,8.90554,2.8118
135,23.2286,6.56789
136,8.87546,2.07969
137,8.72842,3.06939
138,10.0105,3.35244
139,10.7864,5.13484
140,9.17942,2.63768
141,7.83713,1.60077
142,10.7308,3.2398
143,9.65176,3.14898
144,8.07426,2.06088
145,9.08808,2.54182
146,9.76626,3.11193
147,27.7227,6.93377
148,8.62741,2.62594
149,8.47146,1.81095
150,7.67285,1.47535
151,9.44851,3.00134
152,19.0056,7.4879
153,14.0677,5.51078
154,7.49345,1.65583
155,10.0137,3.37271
156,8.23233,2.37827
157,8.93363,2.20703
158,5.9642,1.15136
159,11.0563,3.55324
160,10.4725,2.69085
161,11.7906,4.11855
162,7.46711,2.07552
163,10.9225,2.72029
164,11.2398,3.05238
165,7.8682,2.4921
166,9.22252,2.3817
167,13.5793,15.5714
168,11.808,10.2627
169,7.81408,2.20954
170,22.0892,2.98968
171,8.04692,1.78798
172,8.43785,3.7834
173,7.57541,1.91359
174,11.8372,3.49468
175,12.2883,6.53209
176,9.57984,9.96148
177,8.33403,2.11327
178,12.6265,4.16369
179,9.49275,2.63876
180,10.8042,2.2538
181,12.3227,3.10606
182,6.78752,1.22886
183,10.5735,7.16495
184,10.3564,2.73194
185,8.99581,3.53215
186,9.78607,4.026
187,9.15789,2.34549
188,11.2385,3.61644
189,9.06047,2.12826
190,8.74694,2.0141
191,7.25533,1.58768
192,12.7412,4.60625
193,8.90112,2.06086
194,9.02341,2.5563
195,6.33217,1.66537
196,8.86004,2.93773
197,6.74077,1.76512
198,9.77562,2.41208
199,9.38151,2.49426
200,15.1234,6.92902
201,6.56776,1.45136
202,8.61638,1.90461
203,9.89881,2.62829
204,10.2482,2.88012
205,6.21063,1.0119
206,10.5483,5.29747
207,7.81633,1.65996
208,9.64647,2.12535
209,10.0417,2.10864
210,7.58689,2.94323
211,8.05197,1.80226
212,8.58095,1.99564
213,8.75757,2.21038
214,10.9012,3.41595
215,6.55997,1.76314
216,9.72062,3.20857
217,9.23432,2.30866
218,10.6956,2.97704
219,11.2452,4.11523
220,8.14732,1.91686
221,8.33384,2.51595
222,10.5962,3.5453
223,9.49362,2.49247
224,6.99868,1.54088
225,8.50955,2.84104
226,8.82849,2.20597
227,9.59863,6.06033
228,10.915,4.93916
229,7.72642,2.88739
230,11.4832,3.25167
231,11.2291,4.22985
232,6.26558,1.41381
233,6.68372,1.37523
234,8.57421,2.04538
235,8.61578,2.43399
236,6.62696,2.25747
237,8.91133,1.7124
238,12.6574,2.95395
239,8.40677,2.16906
240,11.7615,3.69031
241,80.8503,16.0836
242,9.7485,3.03186
243,16.2144,6.00941
244,8.24142,2.09976
245,8.09009,1.96372
246,12.0006,3.43465
247,7.12344,1.98325
248,10.3845,2.478
249,21.4646,5.697
250,9.9202,2.99318
251,7.92562,2.21943
252,6.96226,1.02856
253,7.45603,1.69224
254,10.3852,2.37713
255,8.03411,1.76023
256,7.55576,1.41815
257,9.43634,6.87967
258,11.4038,3.86267
259,9.38482,2.52613
260,9.25333,2.65645
261,8.45102,2.12036
262,9.44008,2.92675
263,7.83028,5.58415
264,7.73896,1.98944
265,7.71657,1.74295
266,8.31036,2.05924
267,8.58369,2.51081
268,6.07879,1.29068
269,9.45201,2.34703
270,11.3799,5.53767
271,13.7988,7.1916
272,8.2931,1.70824
273,9.03595,2.43685
274,6.48785,1.21209
275,10.8555,3.02716
276,8.73989,1.91
277,11.2088,2.83483
278,8.38204,2.02013
279,10.1624,2.87499
280,12.9203,3.43435
281,7.29572,2.71268
282,9.97403,3.6407
283,8.28381,2.21017
284,6.842,1.65532
285,6.65416,1.79816
286,8.24691,1.8025
287,8.26106,1.39401
288,10.4693,4.84995
289,7.99562,1.97905
290,7.60606,2.51161
291,8.78428,3.04043
292,10.4838,2.56349
293,6.23359,1.84109
294,8.78639,3.76187
295,8.63577,2.24991
296,8.39797,2.57514
297,8.78151,1.90916
298,9.15708,2.57407
299,7.04923,1.5117
300,16.9652,7.06252
301,15.6463,13.7417
302,8.21728,2.40693
303,6.96011,1.52045
304,7.78668,2.11332
305,8.80071,2.05706
306,10.2429,3.95114
307,8.09705,2.6435
308,7.57616,1.58832
309,7.48461,2.25504
310,7.31974,1.6801
311,7.41303,1.23833
312,7.8457,1.84793
313,7.48216,1.73591
314,6.82268,1.71414
315,7.50308,1.96848
316,11.3552,4.57211
317,7.40163,3.36653
318,8.81327,5.06648
319,6.49842,1.9146
320,6.6413,1.30259
321,7.47128,2.47871
322,9.94898,3.16771
323,9.28817,2.3309
324,7.44606,1.78617
325,5.69237,0.972168
326,10.904,5.9386
327,6.94948,1.65324
328,7.36205,1.53699
329,8.82894,1.69011
330,12.1402,3.44483
331,7.87869,1.62976
332,6.82716,1.68703
333,7.77517,1.68483
334,7.05969,1.7816
335,7.90894,1.6526
336,8.60889,1.93388
337,9.92091,3.00869
338,6.46098,1.35626
339,8.85688,2.96119
340,6.85869,1.4642
341,8.34718,2.3188
342,11.6832,3.70877
343,6.68144,2.16534
344,7.2145,1.66946
345,8.67623,2.21039
346,14.6759,3.09228
347,10.4974,4.92437
348,7.29402,1.96841
349,7.9172,2.41804
350,6.87345,1.77575
351,7.92256,2.1857
352,25.1507,4.10324
353,9.39882,4.87077
354,3.17964,1.5189
355,7.37497,2.83561
356,9.10405,1.90102
357,5.60695,1.32761
358,15.2501,27.9401
359,9.92061,3.20883
360,9.33925,10.9495
361,16.7014,23.3457
362,9.13726,2.2938
363,7.73257,1.82402
364,7.65646,2.17265
365,6.49815,1.28662
366,8.48063,2.51171
367,10.8095,4.40122
368,8.87047,2.04299
369,12.1394,3.04788
370,6.4641,1.66106
371,6.26543,1.06475
372,9.09261,3.09998
373,10.1699,2.99277
374,8.22749,2.34883
375,3.77117,0.720284
376,11.567,5.00841
377,4.59809,0.689078
378,8.60229,1.85517
379,6.91555,1.18927
380,8.17546,2.63033
381,8.77509,3.11619
382,7.60269,1.69271
383,8.36115,2.65041
384,9.93877,2.66618
385,17.4544,2.03495
386,9.49964,2.81115
387,10.3494,3.3125
388,7.65804,2.61868
389,6.6699,1.56871
390,11.0884,3.16425
391,9.80484,3.55151
392,8.7646,1.73853
393,11.7002,4.31123
394,7.6057,1.97354
395,6.60765,1.55431
396,7.34044,3.06701
397,5.51063,1.36928
398,7.22588,1.60617
399,7.74815,2.14078
400,7.40548,1.67057
401,7.53451,1.89691
402,6.13881,1.51006
403,10.342,12.342
404,6.95317,1.55373
405,8.33735,2.07632
406,2.92453,0.90385
407,6.10149,1.16304
408,31.9284,3.59939
409,7.15326,1.63834
410,9.34674,3.61117
411,9.42684,2.75276
412,6.26242,1.28924
413,22.1576,4.5568
414,9.16861,1.95723
415,6.45921,1.8538
416,7.33439,1.77139
417,6.48097,1.33238
