scaffold,ssu
135,Bacteria(100);Cloacimonetes(100);Cloacimonadia(100);Cloacimonadales(100);Cloacimonadaceae(100);Candidatus_Cloacimonas(100);
167,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
16,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Syntrophobacterales(100);Syntrophaceae(100);Smithella(98);
20,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
21,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidetes_vadinHA17(100);Bacteroidetes_vadinHA17_ge(100);
27,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
28,Bacteria(100);Cloacimonetes(100);Cloacimonadia(100);Cloacimonadales(100);Cloacimonadaceae(100);Candidatus_Cloacimonas(100);
353,Bacteria(100);Chloroflexi(100);Anaerolineae(100);Anaerolineales(100);Anaerolineaceae(100);Leptolinea(100);
4,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prolixibacteraceae(100);uncultured(100);
4,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prolixibacteraceae(100);uncultured(100);
49,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);
49,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Sphingobacteriales(90);Lentimicrobiaceae(88);Lentimicrobiaceae_ge(88);
